r_m,Bx_T,By_T,Bz_T,Brho_xy_T
3.842499999999999345e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.789616563558069658e-06,0.000000000000000000e+00
3.878749999999999819e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.791614615868404178e-06,0.000000000000000000e+00
3.914999999999999752e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.793632468219695957e-06,0.000000000000000000e+00
3.951249999999999684e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.795670150677199885e-06,0.000000000000000000e+00
3.987499999999999617e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.797727693626879551e-06,0.000000000000000000e+00
4.023749999999999549e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.799805127776672708e-06,0.000000000000000000e+00
4.059999999999999482e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.801902484157690669e-06,0.000000000000000000e+00
4.096249999999999414e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.804019794125482087e-06,0.000000000000000000e+00
4.132499999999999347e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.806157089361218794e-06,0.000000000000000000e+00
4.168749999999999279e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.808314401873051056e-06,0.000000000000000000e+00
4.204999999999999754e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.810491763997296810e-06,0.000000000000000000e+00
4.241249999999999686e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.812689208399829100e-06,0.000000000000000000e+00
4.277499999999999618e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.814906768077295807e-06,0.000000000000000000e+00
4.313749999999999551e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.817144476358515560e-06,0.000000000000000000e+00
4.349999999999999483e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.819402366905795714e-06,0.000000000000000000e+00
4.386249999999999416e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.821680473716260505e-06,0.000000000000000000e+00
4.422499999999999348e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.823978831123258813e-06,0.000000000000000000e+00
4.458749999999999281e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.826297473797726196e-06,0.000000000000000000e+00
4.494999999999999755e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.828636436749602816e-06,0.000000000000000000e+00
4.531249999999999688e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.830995755329251381e-06,0.000000000000000000e+00
4.567499999999999620e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.833375465228864906e-06,0.000000000000000000e+00
4.603749999999999553e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.835775602483954108e-06,0.000000000000000000e+00
4.639999999999999485e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.838196203474782278e-06,0.000000000000000000e+00
4.676249999999999418e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.840637304927827257e-06,0.000000000000000000e+00
4.712499999999999350e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.843098943917353536e-06,0.000000000000000000e+00
4.748749999999999282e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.845581157866853899e-06,0.000000000000000000e+00
4.784999999999999215e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.848083984550601191e-06,0.000000000000000000e+00
4.821249999999999689e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.850607462095184837e-06,0.000000000000000000e+00
4.857499999999999622e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.853151628981130365e-06,0.000000000000000000e+00
4.893749999999999012e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.855716524044373246e-06,0.000000000000000000e+00
4.929999999999999487e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.858302186477949571e-06,0.000000000000000000e+00
4.966249999999999961e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.860908655833585087e-06,0.000000000000000000e+00
5.002499999999999352e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.863535972023304555e-06,0.000000000000000000e+00
5.038749999999999826e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.866184175321076691e-06,0.000000000000000000e+00
5.074999999999999217e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.868853306364511622e-06,0.000000000000000000e+00
5.111249999999999691e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.871543406156543088e-06,0.000000000000000000e+00
5.147499999999999081e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.874254516067069998e-06,0.000000000000000000e+00
5.183749999999999556e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.876986677834767380e-06,0.000000000000000000e+00
5.219999999999998946e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.879739933568746572e-06,0.000000000000000000e+00
5.256249999999999421e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.882514325750328904e-06,0.000000000000000000e+00
5.292499999999999896e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.885309897234849881e-06,0.000000000000000000e+00
5.328749999999999286e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.888126691253415929e-06,0.000000000000000000e+00
5.364999999999999760e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.890964751414725513e-06,0.000000000000000000e+00
5.401249999999999151e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.893824121706910592e-06,0.000000000000000000e+00
5.437499999999999625e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.896704846499379757e-06,0.000000000000000000e+00
5.473749999999999016e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.899606970544632580e-06,0.000000000000000000e+00
5.509999999999999490e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.902530538980251832e-06,0.000000000000000000e+00
5.546249999999998881e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.905475597330690727e-06,0.000000000000000000e+00
5.582499999999999355e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.908442191509309182e-06,0.000000000000000000e+00
5.618749999999999830e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.911430367820208499e-06,0.000000000000000000e+00
5.654999999999999220e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.914440172960284567e-06,0.000000000000000000e+00
5.691249999999999695e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.917471654021181121e-06,0.000000000000000000e+00
5.727499999999999085e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.920524858491268412e-06,0.000000000000000000e+00
5.763749999999999559e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.923599834257701497e-06,0.000000000000000000e+00
5.799999999999998950e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.926696629608454812e-06,0.000000000000000000e+00
5.836249999999999424e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.929815293234373684e-06,0.000000000000000000e+00
5.872499999999998815e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.932955874231302082e-06,0.000000000000000000e+00
5.908749999999999289e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.936118422102132431e-06,0.000000000000000000e+00
5.944999999999999764e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.939302986759004514e-06,0.000000000000000000e+00
5.981249999999999154e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.942509618525324799e-06,0.000000000000000000e+00
6.017499999999999629e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.945738368138144902e-06,0.000000000000000000e+00
6.053749999999999019e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.948989286750172450e-06,0.000000000000000000e+00
6.089999999999999494e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.952262425932041124e-06,0.000000000000000000e+00
6.126249999999998884e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.955557837674587488e-06,0.000000000000000000e+00
6.162499999999999358e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.958875574391097316e-06,0.000000000000000000e+00
6.198749999999999833e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.962215688919509574e-06,0.000000000000000000e+00
6.234999999999999223e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.965578234524867735e-06,0.000000000000000000e+00
6.271249999999999698e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.968963264901500038e-06,0.000000000000000000e+00
6.307499999999999088e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.972370834175457252e-06,0.000000000000000000e+00
6.343749999999999563e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.975800996906870815e-06,0.000000000000000000e+00
6.379999999999998953e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.979253808092336382e-06,0.000000000000000000e+00
6.416249999999999428e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.982729323167332955e-06,0.000000000000000000e+00
6.452499999999998818e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.986227598008704689e-06,0.000000000000000000e+00
6.488749999999999293e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.989748688937095261e-06,0.000000000000000000e+00
6.524999999999999767e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.993292652719451704e-06,0.000000000000000000e+00
6.561249999999999158e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.996859546571518069e-06,0.000000000000000000e+00
6.597499999999999632e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.000044942816042735e-05,0.000000000000000000e+00
6.633749999999999022e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.000406235560725443e-05,0.000000000000000000e+00
6.669999999999999497e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.000769838748957752e-05,0.000000000000000000e+00
6.706249999999998887e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.001135758284412260e-05,0.000000000000000000e+00
6.742499999999999362e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.001504000116942987e-05,0.000000000000000000e+00
6.778749999999998752e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.001874570242847445e-05,0.000000000000000000e+00
6.814999999999999227e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.002247474705142438e-05,0.000000000000000000e+00
6.851249999999999701e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.002622719593827481e-05,0.000000000000000000e+00
6.887499999999999092e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.003000311046170935e-05,0.000000000000000000e+00
6.923749999999999566e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.003380255246979360e-05,0.000000000000000000e+00
6.959999999999998957e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.003762558428881610e-05,0.000000000000000000e+00
6.996249999999999431e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.004147226872610217e-05,0.000000000000000000e+00
7.032499999999998821e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.004534266907288366e-05,0.000000000000000000e+00
7.068749999999999296e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.004923684910720262e-05,0.000000000000000000e+00
7.104999999999998686e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.005315487309678436e-05,0.000000000000000000e+00
7.141249999999999161e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.005709680580204107e-05,0.000000000000000000e+00
7.177499999999999635e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.006106271247896702e-05,0.000000000000000000e+00
7.213749999999999026e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.006505265888223351e-05,0.000000000000000000e+00
7.249999999999999500e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.006906671126810110e-05,0.000000000000000000e+00
7.286249999999998891e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.007310493639764668e-05,0.000000000000000000e+00
7.322499999999999365e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.007716740153966890e-05,0.000000000000000000e+00
7.358749999999998756e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.008125417447396103e-05,0.000000000000000000e+00
7.394999999999999230e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.008536532349436710e-05,0.000000000000000000e+00
7.431249999999999705e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.008950091741200907e-05,0.000000000000000000e+00
7.467499999999999095e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.009366102555849879e-05,0.000000000000000000e+00
7.503749999999999570e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.009784571778912791e-05,0.000000000000000000e+00
7.539999999999998960e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.010205506448624759e-05,0.000000000000000000e+00
7.576249999999999435e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.010628913656246513e-05,0.000000000000000000e+00
7.612499999999998825e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.011054800546409823e-05,0.000000000000000000e+00
7.648749999999999299e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.011483174317443603e-05,0.000000000000000000e+00
7.684999999999998690e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.011914042221720351e-05,0.000000000000000000e+00
7.721249999999999164e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.012347411566002242e-05,0.000000000000000000e+00
7.757499999999999639e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.012783289711782318e-05,0.000000000000000000e+00
7.793749999999999029e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.013221684075639730e-05,0.000000000000000000e+00
7.829999999999999504e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.013662602129595153e-05,0.000000000000000000e+00
7.866249999999998894e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.014106051401461799e-05,0.000000000000000000e+00
7.902499999999999369e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.014552039475211504e-05,0.000000000000000000e+00
7.938749999999998759e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.015000573991339457e-05,0.000000000000000000e+00
7.974999999999999234e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.015451662647231478e-05,0.000000000000000000e+00
8.011249999999998624e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.015905313197535694e-05,0.000000000000000000e+00
8.047499999999999098e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.016361533454534048e-05,0.000000000000000000e+00
8.083749999999999573e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.016820331288530577e-05,0.000000000000000000e+00
8.119999999999998963e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.017281714628225804e-05,0.000000000000000000e+00
8.156249999999999438e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.017745691461106540e-05,0.000000000000000000e+00
8.192499999999998828e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.018212269833835521e-05,0.000000000000000000e+00
8.228749999999999303e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.018681457852649003e-05,0.000000000000000000e+00
8.264999999999998693e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.019153263683747924e-05,0.000000000000000000e+00
8.301249999999999168e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.019627695553703800e-05,0.000000000000000000e+00
8.337499999999998558e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.020104761749866997e-05,0.000000000000000000e+00
