z_m,Bx_T,By_T,Bz_T
-2.449999999999999921e-04,-1.030206653573210214e-11,-7.097806492188511654e-10,9.602851125973611482e-06
-2.399999999999999790e-04,-1.009928978331066801e-11,-6.957808357871107922e-10,9.606172596027780713e-06
-2.349999999999999659e-04,-9.896057619388426903e-12,-6.817513960548019589e-10,9.609427453037381483e-06
-2.299999999999999527e-04,-9.692378849247991937e-12,-6.676929054596657271e-10,9.612615581513074713e-06
-2.249999999999999396e-04,-9.488262320299974634e-12,-6.536059420180205195e-10,9.615736868246616624e-06
-2.199999999999999265e-04,-9.283716921155405260e-12,-6.394910862761637084e-10,9.618791202320301466e-06
-2.149999999999999134e-04,-9.078751580941654459e-12,-6.253489212615128486e-10,9.621778475116136571e-06
-2.100000000000000087e-04,-8.873375268428310143e-12,-6.111800324331017088e-10,9.624698580324875122e-06
-2.049999999999999956e-04,-8.667596991392523162e-12,-5.969850076319063192e-10,9.627551413954898131e-06
-1.999999999999999825e-04,-8.461425795513066833e-12,-5.827644370308720944e-10,9.630336874340747456e-06
-1.949999999999999694e-04,-8.254870763820778813e-12,-5.685189130842482980e-10,9.633054862151743509e-06
-1.899999999999999563e-04,-8.047941015737170434e-12,-5.542490304767860209e-10,9.635705280400165906e-06
-1.849999999999999431e-04,-7.840645706256448478e-12,-5.399553860727926448e-10,9.638288034449361260e-06
-1.799999999999999300e-04,-7.632994025139737860e-12,-5.256385788643385480e-10,9.640803032021739177e-06
-1.749999999999999169e-04,-7.424995196115404770e-12,-5.112992099195388792e-10,9.643250183206348116e-06
-1.699999999999999038e-04,-7.216658475867414787e-12,-4.969378823304976329e-10,9.645629400466483439e-06
-1.649999999999999991e-04,-7.007993153343964980e-12,-4.825552011605534830e-10,9.647940598647031189e-06
-1.599999999999999860e-04,-6.799008548911174745e-12,-4.681517733917511252e-10,9.650183694981557752e-06
-1.549999999999999729e-04,-6.589714013298430526e-12,-4.537282078715461850e-10,9.652358609099262308e-06
-1.499999999999999598e-04,-6.380118926898022326e-12,-4.392851152595991518e-10,9.654465263031751396e-06
-1.449999999999999466e-04,-6.170232698904203789e-12,-4.248231079739372423e-10,9.656503581219581399e-06
-1.399999999999999335e-04,-5.960064766287953530e-12,-4.103428001370858148e-10,9.658473490518602821e-06
-1.349999999999999204e-04,-5.749624593081877492e-12,-3.958448075218280681e-10,9.660374920206070781e-06
-1.299999999999999073e-04,-5.538921669324002704e-12,-3.813297474967433151e-10,9.662207801986714853e-06
-1.250000000000000026e-04,-5.327965510299873044e-12,-3.667982389714508828e-10,9.663972069998365058e-06
-1.199999999999999895e-04,-5.116765655604629822e-12,-3.522509023416319671e-10,9.665667660817576162e-06
-1.149999999999999764e-04,-4.905331668210417338e-12,-3.376883594338278893e-10,9.667294513464970760e-06
-1.099999999999999633e-04,-4.693673133595620192e-12,-3.231112334500157898e-10,9.668852569410353663e-06
-1.049999999999999501e-04,-4.481799658828295464e-12,-3.085201489119377704e-10,9.670341772577677203e-06
-9.999999999999993703e-05,-4.269720871638024371e-12,-2.939157316052173475e-10,9.671762069349830357e-06
-9.499999999999992392e-05,-4.057446419533620744e-12,-2.792986085233136226e-10,9.673113408573045014e-06
-8.999999999999991080e-05,-3.844985968863453852e-12,-2.646694078112966792e-10,9.674395741561342898e-06
-8.499999999999989769e-05,-3.632349203873599879e-12,-2.500287587093309324e-10,9.675609022100562360e-06
-7.999999999999999299e-05,-3.419545825814719506e-12,-2.353772914961082278e-10,9.676753206452402118e-06
-7.499999999999997988e-05,-3.206585551996564620e-12,-2.207156374320718184e-10,9.677828253357916109e-06
-6.999999999999996676e-05,-2.993478114868877258e-12,-2.060444287024537093e-10,9.678834124041238744e-06
-6.499999999999995365e-05,-2.780233261095981295e-12,-1.913642983602154805e-10,9.679770782212698601e-06
-5.999999999999994053e-05,-2.566860750564605152e-12,-1.766758802688259223e-10,9.680638194072016821e-06
-5.499999999999992742e-05,-2.353370355530774234e-12,-1.619798090448962412e-10,9.681436328311027775e-06
-4.999999999999991430e-05,-2.139771859618948247e-12,-1.472767200006833038e-10,9.682165156116511546e-06
-4.499999999999990119e-05,-1.926075056896819678e-12,-1.325672490865681694e-10,9.682824651172511411e-06
-3.999999999999988808e-05,-1.712289750938945339e-12,-1.178520328333465418e-10,9.683414789662625908e-06
-3.499999999999998338e-05,-1.498425753853284041e-12,-1.031317082944219892e-10,9.683935550271982427e-06
-2.999999999999997027e-05,-1.284492885381107758e-12,-8.840691298799146028e-11,9.684386914189085436e-06
-2.499999999999995715e-05,-1.070500971923474670e-12,-7.367828483908776362e-11,9.684768865107425839e-06
-1.999999999999983562e-05,-8.564598455790824081e-13,-5.894646212157604706e-11,9.685081389226826069e-06
-1.500000000000003934e-05,-6.423793432081193122e-13,-4.421208340011468317e-11,9.685324475254631016e-06
-1.000000000000002623e-05,-4.282693054825932388e-13,-2.947578747204635464e-11,9.685498114406682112e-06
-5.000000000000013115e-06,-2.141395759349866128e-13,-1.473821330925258540e-11,9.685602300408037310e-06
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.685637029493535211e-06
5.000000000000013115e-06,2.141395759349866128e-13,1.473821330925258540e-11,9.685602300408037310e-06
1.000000000000002623e-05,4.282693054825932388e-13,2.947578747204635464e-11,9.685498114406682112e-06
1.500000000000003934e-05,6.423793432081193122e-13,4.421208340011468317e-11,9.685324475254631016e-06
2.000000000000005246e-05,8.564598455790759457e-13,5.894646212157743000e-11,9.685081389226826069e-06
2.500000000000006557e-05,1.070500971923293725e-12,7.367828483908666502e-11,9.684768865107425839e-06
3.000000000000007869e-05,1.284492885380177179e-12,8.840691298798970252e-11,9.684386914189085436e-06
3.500000000000009180e-05,1.498425753853361590e-12,1.031317082944202314e-10,9.683935550271982427e-06
4.000000000000010492e-05,1.712289750929755880e-12,1.178520328333465935e-10,9.683414789662625908e-06
4.500000000000011803e-05,1.926075056897362515e-12,1.325672490865705993e-10,9.682824651172511411e-06
5.000000000000013115e-05,2.139771859622386217e-12,1.472767200006873880e-10,9.682165156116511546e-06
5.500000000000014426e-05,2.353370355532945583e-12,1.619798090448956467e-10,9.681436328311027775e-06
6.000000000000015737e-05,2.566860750566259513e-12,1.766758802688348920e-10,9.680638194072016821e-06
6.500000000000017049e-05,2.780233261091302555e-12,1.913642983602195130e-10,9.679770782212698601e-06
6.999999999999996676e-05,2.993478114868877258e-12,2.060444287024537093e-10,9.678834124041238744e-06
7.499999999999997988e-05,3.206585551996564620e-12,2.207156374320718184e-10,9.677828253357916109e-06
7.999999999999999299e-05,3.419545825814719506e-12,2.353772914961082278e-10,9.676753206452402118e-06
8.500000000000000611e-05,3.632349203876236518e-12,2.500287587093388423e-10,9.675609022100562360e-06
9.000000000000001922e-05,3.844985968859938334e-12,2.646694078112926984e-10,9.674395741561342898e-06
9.500000000000003234e-05,4.057446419538687225e-12,2.792986085233166728e-10,9.673113408573045014e-06
1.000000000000000454e-04,4.269720871640195720e-12,2.939157316052101613e-10,9.671762069349830357e-06
1.050000000000000586e-04,4.481799658829587934e-12,3.085201489119342032e-10,9.670341772577677203e-06
1.100000000000000717e-04,4.693673133594482819e-12,3.231112334500127913e-10,9.668852569410353663e-06
1.150000000000000848e-04,4.905331668208452784e-12,3.376883594338320252e-10,9.667294513464970760e-06
1.200000000000000979e-04,5.116765655603699244e-12,3.522509023416224545e-10,9.665667660817576162e-06
1.250000000000001110e-04,5.327965510294548069e-12,3.667982389714472639e-10,9.663972069998365058e-06
1.300000000000001241e-04,5.538921669318470934e-12,3.813297474967290979e-10,9.662207801986714853e-06
1.350000000000001373e-04,5.749624593084979420e-12,3.958448075218232084e-10,9.660374920206070781e-06
1.400000000000001504e-04,5.960064766290435072e-12,4.103428001370945519e-10,9.658473490518602821e-06
1.450000000000001635e-04,6.170232698902601127e-12,4.248231079739361566e-10,9.656503581219581399e-06
1.500000000000001766e-04,6.380118926904071084e-12,4.392851152595990484e-10,9.654465263031751396e-06
1.549999999999999729e-04,6.589714013298430526e-12,4.537282078715461850e-10,9.652358609099262308e-06
1.599999999999999860e-04,6.799008548911174745e-12,4.681517733917511252e-10,9.650183694981557752e-06
1.649999999999999991e-04,7.007993153343964980e-12,4.825552011605534830e-10,9.647940598647031189e-06
