r_m,Bx_T,By_T,Bz_T,Brho_xy_T_z_probe
2.073499999999999822e-03,8.028365617533328789e-09,1.076914796593507191e-11,1.464276330191172803e-05,8.028372840329427878e-09
2.077124999999999978e-03,8.081736268212232720e-09,1.082773781763212136e-11,1.467197418433725108e-05,8.081743521595030678e-09
2.080749999999999700e-03,8.135618120368958510e-09,1.088689272620502386e-11,1.470137961844494889e-05,8.135625404657528678e-09
2.084374999999999856e-03,8.190017995084858055e-09,1.094662013097912131e-11,1.473098147241676794e-05,8.190025310602287255e-09
2.087999999999999579e-03,8.244942829322507499e-09,1.100692759696469917e-11,1.476078163942819144e-05,8.244950176395958897e-09
2.091624999999999734e-03,8.300399678334928668e-09,1.106782281745545002e-11,1.479078203807394447e-05,8.300407057295714569e-09
2.095249999999999890e-03,8.356395718133871203e-09,1.112931361668661839e-11,1.482098461280282856e-05,8.356403129317522535e-09
2.098874999999999613e-03,8.412938248019454954e-09,1.119140795256045913e-11,1.485139133436151782e-05,8.412945691765792399e-09
2.102499999999999768e-03,8.470034693172646656e-09,1.125411391943905118e-11,1.488200420024767918e-05,8.470042169825860069e-09
2.106124999999999924e-03,8.527692607312324538e-09,1.131743975100637159e-11,1.491282523517273535e-05,8.527700117221042423e-09
2.109749999999999646e-03,8.585919675419071578e-09,1.138139382320089471e-11,1.494385649153438209e-05,8.585927218936443808e-09
2.113374999999999802e-03,8.644723716527343516e-09,1.144598465722241475e-11,1.497510004989911580e-05,8.644731294011115780e-09
2.116999999999999958e-03,8.704112686588215222e-09,1.151122092261164889e-11,1.500655801949513385e-05,8.704120298400811741e-09
2.120624999999999680e-03,8.764094681404654258e-09,1.157711144041292678e-11,1.503823253871571780e-05,8.764102327913262161e-09
2.124249999999999836e-03,8.824677939641588117e-09,1.164366518640912916e-11,1.507012577563353315e-05,8.824685621218235194e-09
2.127874999999999558e-03,8.885870845912738783e-09,1.171089129444638524e-11,1.510223992852592700e-05,8.885878562934386127e-09
2.131499999999999714e-03,8.947681933946850082e-09,1.177879905983753797e-11,1.513457722641171316e-05,8.947689686795476466e-09
2.135124999999999870e-03,9.010119889835294723e-09,1.184739794285542801e-11,1.516713992959960903e-05,9.010127678897985932e-09
2.138749999999999592e-03,9.073193555363800641e-09,1.191669757231598644e-11,1.519993033024854451e-05,9.073201381032840463e-09
